109.2	9
109.7	13
110.3	2
111.2	40
112.4	34
113	1
113	17
113.5	49
114.1	32
114.3	28
115	43
115.5	30
117.1	25
118.7	33
119	10
119.6	31
119.7	24
120.2	45
120.5	19
120.9	0
122.2	36
124.1	29
124.7	16
125	11
125.4	41
125.6	22
125.8	37
126.1	14
126.1	46
126.3	7
126.4	5
127	47
127.4	21
130	4
130.2	17
132	1
135	42
136	8
136.5	40
136.8	34
137.5	23
137.8	30
138	25
138.2	36
138.5	24
138.6	39
138.6	48
139.1	49
139.4	21
139.6	9
139.6	13
139.7	27
140.2	41
140.2	45
141.6	44
142.6	37
144	12
145.1	19
145.2	20
145.7	47
146.3	16
146.8	43
148.3	4
148.3	18
148.4	15
149.6	46
149.9	22
150	36
150.4	29
150.7	31
152.4	17
154	49
154.4	2
154.5	6
154.5	10
155.2	25
155.8	28
156.1	41
156.4	14
156.4	30
156.5	21
156.5	35
157.2	27
157.7	5
158.6	26
158.7	7
160.6	37
160.7	8
161.2	11
162.8	24
162.8	45
164.4	42
165	1
165.4	32
167.4	36
169.2	43
169.4	34
169.8	16
170.1	17
172.6	48
172.7	47
172.8	3
172.8	49
173.1	39
173.1	41
173.4	14
174.3	12
174.3	19
174.4	44
174.9	40
175.2	25
175.3	21
175.8	46
176.6	6
177.5	1
178.9	31
179.5	29
179.9	13
180.4	9
181.4	7
181.4	16
183	36
186.1	30
186.4	43
186.9	49
187.1	17
187.3	11
187.4	24
188.1	37
188.3	28
188.3	41
189.7	45
190	40
190.9	21
191.5	27
191.7	25
192.3	22
192.7	33
195.6	4
195.7	47
195.9	39
196	19
196.1	48
196.4	1
196.7	5
197	12
198	14
198.2	46
198.6	26
198.7	15
199.1	20
199.1	34
199.1	38
200.4	13
200.9	16
201.9	30
201.9	36
202.2	31
203.2	21
204.1	49
204.5	7
204.7	29
204.7	32
204.8	41
204.9	44
205.3	42
205.6	9
205.7	17
205.9	25
206	2
207.9	45
208.7	23
209.2	10
210.2	3
210.7	5
210.9	40
211.4	43
211.6	19
211.8	27
211.9	0
212	24
212.4	16
212.8	46
212.9	11
213.3	37
214.6	14
216.5	22
216.8	4
221.3	6
222	30
222.1	21
222.2	1
222.6	29
222.9	8
223.4	36
223.8	25
223.9	39
224.5	17
226.5	49
227	12
227.1	41
227.3	32
227.4	31
228	28
228	48
228.9	13
229.5	5
229.7	45
231.2	46
232.6	43
232.8	24
233.7	19
234.8	17
235.6	7
236.6	16
236.6	37
237	11
237	42
237.1	36
237.2	1
237.9	4
238.3	34
238.5	40
238.8	44
239.2	47
239.9	49
240.2	22
240.3	21
242.5	14
243.1	25
243.4	41
244	9
244	30
245.4	3
245.6	8
247	46
247.4	27
247.7	24
248.5	45
248.6	21
249.5	15
250.3	16
251.9	43
252.2	12
252.5	19
252.6	5
253.5	40
256.5	36
256.8	47
256.9	41
257.1	7
257.6	25
257.7	30
258.6	10
258.9	17
259.5	14
260.1	37
260.6	20
260.9	35
261.4	29
261.4	31
261.5	1
261.8	26
262.3	48
263.7	39
264.7	44
264.7	46
265.5	34
265.8	13
267.9	11
269.4	49
269.9	45
271.3	32
272.2	24
272.4	21
273.3	6
273.4	36
273.5	27
275	43
275.3	16
275.4	25
276.6	5
276.6	40
277	17
277.2	22
278.4	29
278.4	33
278.6	19
278.6	41
279.6	9
279.6	30
280.3	2
283.5	1
283.6	14
284.2	23
284.8	4
285.5	37
286.5	10
287.9	24
288.1	46
288.2	47
288.6	41
289.3	36
289.8	42
289.9	44
290	11
290.1	16
290.1	45
290.7	7
292.2	5
292.4	49
292.7	12
293.4	28
294.1	21
294.1	31
294.5	17
295.4	25
295.6	48
296	43
296.6	40
296.8	8
298	29
298.1	39
299.3	13
299.5	34
299.5	41
300.3	15
301.1	14
301.1	26
301.1	30
301.7	22
302.2	19
302.5	20
302.8	37
303.6	4
305.1	46
307.9	9
308.3	24
308.5	1
308.5	36
308.8	32
310.1	42
310.2	47
311.7	2
312.5	18
313.3	17
314.1	49
314.3	27
314.8	21
315.5	45
316.2	14
317	25
317.2	16
317.5	41
319.6	19
320.2	29
321.4	46
321.7	12
322.4	40
322.7	7
322.7	30
322.8	35
323.1	43
323.4	10
323.5	11
326	13
326	28
326.1	21
326.1	44
326.4	5
326.8	1
327.3	16
327.8	25
327.9	36
328.1	34
328.4	41
328.5	39
328.6	4
329.8	31
329.8	37
330.5	24
332	0
332.3	48
332.8	22
332.9	17
334.3	9
335.7	33
336.5	40
338.5	14
338.8	19
338.9	47
339.5	43
340.6	32
340.8	6
340.8	49
341.6	21
342.6	41
342.6	46
343.8	45
344	27
344.5	12
345.5	30
345.6	15
345.7	20
346.2	29
346.9	8
347.2	1
348.2	37
348.4	24
348.9	11
349	25
349.2	4
349.2	38
349.5	26
349.6	16
350	42
350.1	36
350.4	31
350.9	5
353.4	14
353.8	44
354.2	21
356.4	19
357.3	41
357.7	46
358.6	13
358.7	2
359.8	49
360.4	17
361.3	40
361.5	7
361.5	10
362	16
362.3	43
362.7	47
363.3	30
363.9	39
364.3	25
365.1	22
365.2	34
367.5	41
367.7	37
367.8	45
367.9	48
368	1
368.2	23
368.3	24
368.3	28
368.8	19
369.1	36
372.5	21
374.1	4
374.5	5
374.7	12
375.3	14
375.8	17
375.9	40
377.3	11
377.4	29
378.1	31
379.7	16
380.9	46
381.8	25
382.1	39
382.1	44
382.2	49
382.9	26
383.2	27
384.1	42
384.3	36
385	30
385.2	21
385.3	6
385.6	24
385.6	37
386.3	47
386.9	7
387.1	9
390.5	22
391.1	1
392	41
392.3	17
392.4	10
392.6	19
392.8	16
393.3	43
393.7	8
395	2
397.3	34
397.3	35
399.3	36
399.8	24
400.4	45
400.9	15
401	4
401	46
401.1	3
401.1	14
401.5	40
401.6	11
402.6	48
402.7	49
402.9	21
403.1	25
403.4	32
403.9	12
404	41
404.2	30
404.3	29
404.7	31
405.5	37
406.1	44
406.2	5
407	13
409.8	16
410.5	7
410.9	22
411.3	1
411.6	39
412.2	0
412.5	25
412.6	43
412.6	47
412.7	9
413	17
413.2	20
413.9	19
416.2	14
416.6	45
417.8	27
418.2	46
418.5	21
419.1	28
419.5	37
420	30
420.2	24
420.9	41
423.2	49
423.6	40
423.8	11
425.4	16
425.4	29
425.7	36
425.7	42
427.6	34
428.6	47
429.4	12
429.8	4
431.1	1
432	33
432.5	25
432.6	6
433.2	19
434.2	46
434.4	17
434.5	21
436.4	5
436.8	8
437	41
437.3	43
438.3	48
439.8	36
441.6	16
441.6	26
442.1	10
442.5	37
442.8	30
443.2	2
443.5	13
443.7	45
444.8	24
444.9	7
445.1	14
445.4	49
445.9	9
446.1	15
446.6	39
446.6	40
446.8	44
449.1	31
452	41
452.1	21
452.6	4
453.2	12
453.3	19
454.1	22
454.6	25
455.1	17
455.2	28
455.2	34
455.2	43
455.3	18
455.8	32
455.9	1
457.3	36
458.3	5
460	20
460.8	30
461.6	14
462	47
462.7	16
462.7	21
462.8	46
464	49
464.4	29
464.7	37
464.7	42
465.6	11
466.4	27
467.2	45
467.4	24
468.9	13
469.2	44
469.5	48
469.8	33
470.5	25
470.9	23
470.9	39
471	31
472.5	40
473	41
473.2	17
475.3	43
475.5	7
475.5	19
476.4	1
476.9	36
477.4	35
477.7	30
477.8	14
478.1	22
478.2	2
478.5	0
479.2	4
480	21
480.7	5
482.2	8
482.6	34
483.3	24
484.9	26
485.3	9
486	3
487.1	47
488.5	46
488.7	41
489.1	27
489.3	16
489.4	17
489.8	32
490.3	6
490.3	45
491.1	19
491.3	15
491.4	49
491.7	25
492.1	29
492.3	30
492.8	40
493.9	5
493.9	42
494.5	36
494.6	31
494.8	1
496.7	28
500.6	37
500.7	11
501.2	24
501.5	21
501.6	44
502.3	22
502.3	46
503.2	16
503.4	14
503.7	9
504.1	41
504.8	12
505.4	4
505.5	43
506.3	10
507	47
507.1	48
507.2	7
508.2	17
509.1	36
510	25
511.2	40
514.2	39
514.4	30
514.5	19
517.2	13
517.4	21
517.4	34
517.5	15
517.5	45
517.6	41
518.4	27
518.5	1
518.5	49
518.6	29
518.7	24
520.4	2
520.8	5
520.8	14
521.3	42
521.7	22
522	46
522.3	17
524.6	20
524.9	36
525	16
527.5	43
528.7	25
530.1	28
530.4	6
530.5	37
531.1	26
531.2	40
531.4	23
531.6	11
531.9	31
532	30
532.8	47
533.2	19
533.8	21
533.9	7
534.2	48
534.3	12
536.2	4
537.1	36
537.1	45
537.4	24
537.4	41
537.7	33
537.8	34
538.7	39
538.7	44
538.9	32
539.7	49
541.8	27
542	46
542.3	1
543.9	14
544.7	17
544.8	5
544.8	9
544.8	25
545.3	16
545.4	43
546.4	8
546.4	22
547.2	29
550.6	41
551.9	36
552.1	37
552.3	12
552.4	13
553	10
553.1	21
553.8	15
555.8	42
557.9	30
558.4	24
558.4	40
558.9	19
559.4	11
560.2	4
560.2	31
560.4	2
560.8	25
561.2	46
561.5	14
561.8	3
561.9	47
562	28
562.5	32
562.9	1
562.9	27
563.1	49
563.6	5
563.6	16
564.3	45
565.2	17
565.8	34
566	43
567.1	26
567.2	36
567.9	21
567.9	41
568.1	23
570.1	9
571.3	48
572.1	7
573.7	19
574.3	44
576.2	29
576.2	37
576.4	24
576.8	30
577.8	39
578.5	0
578.8	14
578.8	22
578.9	20
579.8	40
580.3	12
580.4	36
581.1	43
581.8	31
581.8	49
582.7	6
583.2	11
583.4	17
583.8	47
584	16
584.5	41
584.6	1
584.7	46
584.9	45
585.2	25
588.3	2
588.4	21
589.7	10
590.4	42
591.6	5
592.6	30
593	13
593.2	34
593.8	35
593.9	4
594	8
594	44
594.8	16
594.8	19
597.6	28
599.5	49
600.1	24
601.2	41
601.3	40
601.5	14
601.7	7
601.7	36
601.9	15
602.1	9
602.8	17
602.8	25
603.6	30
604.8	33
605.2	46
605.3	37
605.9	26
606.2	21
606.4	43
606.7	27
607.8	12
608.6	19
609	45
609.1	47
609.9	31
610.5	32
611	16
611.6	1
611.7	6
611.9	29
614.5	48
618.2	36
618.6	40
618.6	41
618.8	49
619.1	24
619.4	25
619.5	11
619.9	42
620	28
620.2	39
620.7	14
620.8	46
620.9	5
620.9	22
621.3	20
622	7
623.2	21
623.7	10
624.1	34
626	30
626.3	4
627.5	27
628.2	17
628.7	36
629.8	19
630.5	47
631.2	43
632.5	18
632.5	44
632.7	16
633.3	37
634.1	8
634.2	33
634.3	1
634.5	41
634.7	29
635	45
635.6	2
635.6	23
636.4	24
637.3	40
637.6	25
639.7	13
639.9	42
640.4	31
641	17
641	21
641.2	14
641.2	48
642	46
642.6	30
642.7	39
644.8	9
645.7	36
646.1	12
647.1	11
647.6	7
647.8	4
648.8	41
649.2	6
649.5	34
649.6	44
651.1	22
651.1	49
652.4	43
654.4	16
656.2	19
656.6	1
656.7	14
656.7	27
657.5	25
657.5	47
658.3	24
658.6	28
659.2	37
660.2	29
661	46
661.2	32
662	21
662.6	10
662.6	15
663.1	17
663.4	40
663.7	5
664.1	30
664.2	41
664.5	26
664.5	45
667.6	36
668.3	9
668.8	39
669.5	1
670.7	48
670.8	4
671.5	42
672.2	8
672.3	11
672.3	16
672.7	25
673.1	43
673.8	7
675.2	2
675.4	13
676.2	14
676.8	41
677.5	12
677.7	46
678	31
678.5	21
678.7	24
678.8	19
680.2	47
682	34
682.4	32
683.6	30
683.8	17
684.1	27
684.4	49
685.6	40
685.8	37
685.9	36
686.5	22
686.6	23
688	16
689.6	5
689.6	45
690.7	25
690.7	43
692.3	11
692.9	10
693.6	4
696	1
696.1	29
696.5	20
699.1	24
699.2	46
699.5	12
699.5	41
699.6	36
701	14
701.1	2
701.7	19
701.7	21
701.9	9
701.9	17
702.2	30
702.3	28
702.4	47
702.8	8
702.9	39
703.5	27
704.2	48
705.9	22
705.9	25
706	44
706.1	6
706.5	45
708.2	26
708.8	40
708.8	49
709.4	7
709.4	42
709.6	16
710.8	1
714.8	21
715.5	24
715.9	37
716.4	31
717.4	13
717.4	30
718.4	46
718.9	43
719	36
719.1	12
719.1	14
719.2	15
719.7	25
720.6	19
721.1	4
721.1	5
721.4	41
722.5	3
723.1	11
723.4	33
724.4	34
724.9	39
725.4	9
725.9	16
726.3	28
726.5	49
727.4	47
728	2
728.6	17
730	45
730.3	35
731.6	44
732.5	37
